db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NDV4|protein|GO_0005783|cellular_component|9606
"[""PMID:15498789""]"|IDA|located_in|"[""located_in""]"|A6NDV4|protein|GO_0005886|cellular_component|9606
"[""PMID:15498789""]"|IDA|located_in|"[""located_in""]"|A6NDV4|protein|GO_0009986|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NDX4|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NDX5|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NDY0|protein|GO_0005737|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""colocalizes_with""]"|A6NE02|protein|GO_0005737|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NE02|protein|GO_0005576|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NE02|protein|GO_0005886|cellular_component|9606
"[""PMID:23533145""]"|HDA|located_in|"[""located_in""]"|A6NEC2|protein|GO_0070062|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NED2|protein|GO_0005694|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NED2|protein|GO_0005829|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NED2|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NEH6|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NEQ0|protein|GO_0005654|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NEQ0|protein|GO_0005730|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NER0|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NET4|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NF34|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000015""]"|ND|located_in|"[""is_active_in""]"|A6NF36|protein|GO_0005575|cellular_component|9606
"[""PMID:25899918""]"|IDA|located_in|"[""located_in""]"|A6NF83|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NF89|protein|GO_0005811|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NF89|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFA0|protein|GO_0016020|cellular_component|9606
"[""PMID:22726442""]"|IDA|located_in|"[""located_in""]"|A6NFA1|protein|GO_0005886|cellular_component|9606
"[""PMID:22726442""]"|IDA|located_in|"[""located_in""]"|A6NFA1|protein|GO_0031090|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFC5|protein|GO_0005783|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFD8|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NFD8|protein|GO_0000785|cellular_component|9606
"[""GO_REF:0000107""]"|IEA|located_in|"[""part_of""]"|A6NFD8|protein|GO_0005667|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFE2|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000002""]"|IEA|located_in|"[""located_in""]"|A6NFF2|protein|GO_0005634|cellular_component|9606
"[""Reactome:R-HSA-5334794""]"|TAS|located_in|"[""located_in""]"|A6NFH5|protein|GO_0005829|cellular_component|9606
"[""PMID:24619944""]"|IMP|located_in|"[""located_in""]"|A6NFK2|protein|GO_0005902|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NFQ2|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6NFQ2|protein|GO_0030054|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NFQ7|protein|GO_0000785|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFR6|protein|GO_0016020|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NFT4|protein|GO_0031514|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NFT4|protein|GO_0097545|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFU0|protein|GO_0016020|cellular_component|9606
"[""PMID:29563527""]"|IDA|located_in|"[""is_active_in""]"|A6NFX1|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NFY4|protein|GO_0005637|cellular_component|9606
